codigo_estacao,data,hora,temp_inst,temp_max,temp_min,umid_inst,umid_max,umid_min,pto_orvalho_inst,pto_orvalho_max,pto_orvalho_min,pressao,pressao_max,pressao_min,vento_vel,vento_direcao,vento_rajada,radiacao,precipitacao
A803,28/05/2018,08,19.5,19.8,18.7,,,,,,,1006.9,1007.2,1006.9,3.5,52,6.2,-3.54,0.0
A803,28/05/2018,09,20.0,20.3,19.5,,,,,,,1007.2,1007.2,1006.9,4.8,57,7.0,-3.54,0.0
A803,28/05/2018,10,19.5,20.1,19.5,,,,,,,1007.8,1007.8,1007.1,4.9,59,7.3,-3.54,0.0
A803,28/05/2018,11,20.0,20.0,19.4,,,,,,,1008.3,1008.3,1007.8,4.6,58,7.5,108.7,0.0
A803,28/05/2018,12,21.9,21.9,20.0,,,,,,,1008.7,1008.7,1008.3,5.1,57,7.6,636.4,0.0
A803,28/05/2018,13,23.9,23.9,21.9,,,,,,,1009.2,1009.2,1008.7,4.3,56,7.2,1232.,0.0
A803,28/05/2018,14,25.4,25.4,23.9,,,,,,,1008.9,1009.2,1008.9,3.0,58,6.3,1699.,0.0
A803,28/05/2018,15,27.9,28.7,25.4,,,,,,,1008.3,1008.9,1008.3,2.4,60,5.0,2030.,0.0
A803,28/05/2018,16,28.6,29.1,27.8,,,,,,,1007.3,1008.3,1007.3,1.8,346,5.7,2028.,0.0
A803,28/05/2018,17,29.4,29.7,28.6,,,,,,,1006.0,1007.3,1006.0,2.9,12,8.3,1936.,0.0
A803,28/05/2018,18,29.2,29.7,29.2,,,,,,,1005.5,1006.0,1005.5,3.7,22,7.7,1655.,0.0
A803,28/05/2018,19,28.7,29.5,28.4,,,,,,,1005.4,1005.5,1005.3,2.4,46,10.0,1151.,0.0
A803,28/05/2018,20,26.7,28.7,26.7,,,,,,,1005.3,1005.4,1005.3,2.2,70,5.5,541.1,0.0
A803,28/05/2018,21,24.4,26.7,24.2,,,,,,,1005.6,1005.7,1005.3,2.4,69,4.8,26.99,0.0
A803,28/05/2018,22,23.5,24.4,23.5,,,,,,,1005.8,1005.8,1005.6,2.4,48,4.9,-3.54,0.0
A803,28/05/2018,23,22.9,23.8,22.9,,,,,,,1005.9,1005.9,1005.8,2.1,52,4.5,-3.54,0.0
A803,28/05/2018,00,18.9,19.7,18.9,,,,,,,1007.9,1007.9,1007.6,1.3,86,3.0,-3.54,0.0
A803,28/05/2018,01,18.4,19.0,18.4,,,,,,,1007.9,1008.0,1007.9,1.1,97,3.0,-3.54,0.0
A803,28/05/2018,02,18.4,18.5,18.2,,,,,,,1007.9,1008.0,1007.8,1.8,75,2.9,-3.54,0.0
A803,28/05/2018,03,17.9,18.4,17.5,,,,,,,1007.7,1007.9,1007.7,1.2,51,3.0,-3.54,0.0
A803,28/05/2018,04,20.6,20.6,17.9,,,,,,,1007.5,1007.7,1007.5,3.2,52,5.2,-3.54,0.0
A803,28/05/2018,05,20.5,20.8,20.3,,,,,,,1007.3,1007.5,1007.3,4.1,61,5.8,-3.54,0.0
A803,28/05/2018,06,19.1,20.5,19.0,,,,,,,1007.2,1007.3,1007.2,0.8,323,6.5,-3.54,0.0
A803,28/05/2018,07,19.7,20.0,19.1,,,,,,,1007.2,1007.3,1007.1,3.6,67,6.6,-3.54,0.0
